22:54:11 programm started
02:49:13 checkApp 3096 "yandex\\Partners.exe"
02:54:13 checkApp 3096 "yandex\\Partners.exe"
02:59:13 checkApp 3096 "yandex\\Partners.exe"
03:04:13 checkApp 3096 "yandex\\Partners.exe"
03:09:13 checkApp 3096 "yandex\\Partners.exe"
03:14:13 checkApp 3096 "yandex\\Partners.exe"
03:19:13 checkApp 3096 "yandex\\Partners.exe"
03:24:14 checkApp 3096 "yandex\\Partners.exe"
03:29:13 checkApp 3096 "yandex\\Partners.exe"
03:34:13 checkApp 3096 "yandex\\Partners.exe"
03:39:13 checkApp 3096 "yandex\\Partners.exe"
03:44:13 checkApp 3096 "yandex\\Partners.exe"
03:49:13 checkApp 3096 "yandex\\Partners.exe"
03:54:14 checkApp 3096 "yandex\\Partners.exe"
03:59:13 checkApp 3096 "yandex\\Partners.exe"
04:04:13 checkApp 3096 "yandex\\Partners.exe"
04:09:13 checkApp 3096 "yandex\\Partners.exe"
04:14:13 checkApp 3096 "yandex\\Partners.exe"
04:19:13 checkApp 3096 "yandex\\Partners.exe"
04:24:13 checkApp 3096 "yandex\\Partners.exe"
04:29:13 checkApp 3096 "yandex\\Partners.exe"
04:34:13 checkApp 3096 "yandex\\Partners.exe"
04:39:13 checkApp 3096 "yandex\\Partners.exe"
04:44:13 checkApp 3096 "yandex\\Partners.exe"
04:49:13 checkApp 3096 "yandex\\Partners.exe"
04:54:13 checkApp 3096 "yandex\\Partners.exe"
04:59:13 checkApp 3096 "yandex\\Partners.exe"
05:04:13 checkApp 3096 "yandex\\Partners.exe"
05:09:13 checkApp 3096 "yandex\\Partners.exe"
05:14:13 checkApp 3096 "yandex\\Partners.exe"
05:19:13 checkApp 3096 "yandex\\Partners.exe"
05:24:13 checkApp 3096 "yandex\\Partners.exe"
05:29:13 checkApp 3096 "yandex\\Partners.exe"
05:34:13 checkApp 3096 "yandex\\Partners.exe"
05:39:13 checkApp 3096 "yandex\\Partners.exe"
05:44:13 checkApp 3096 "yandex\\Partners.exe"
05:49:13 checkApp 3096 "yandex\\Partners.exe"
05:54:14 checkApp 3096 "yandex\\Partners.exe"
05:59:13 checkApp 3096 "yandex\\Partners.exe"
06:04:13 checkApp 3096 "yandex\\Partners.exe"
06:09:13 checkApp 3096 "yandex\\Partners.exe"
06:14:13 checkApp 3096 "yandex\\Partners.exe"
06:19:13 checkApp 3096 "yandex\\Partners.exe"
06:24:13 checkApp 3096 "yandex\\Partners.exe"
06:29:13 checkApp 3096 "yandex\\Partners.exe"
06:34:13 checkApp 3096 "yandex\\Partners.exe"
06:39:13 checkApp 3096 "yandex\\Partners.exe"
06:44:13 checkApp 3096 "yandex\\Partners.exe"
06:49:13 checkApp 3096 "yandex\\Partners.exe"
06:54:13 checkApp 3096 "yandex\\Partners.exe"
06:59:13 checkApp 3096 "yandex\\Partners.exe"
07:04:13 checkApp 3096 "yandex\\Partners.exe"
07:09:13 checkApp 3096 "yandex\\Partners.exe"
07:14:13 checkApp 3096 "yandex\\Partners.exe"
07:19:13 checkApp 3096 "yandex\\Partners.exe"
07:24:14 checkApp 3096 "yandex\\Partners.exe"
07:29:13 checkApp 3096 "yandex\\Partners.exe"
07:34:13 checkApp 3096 "yandex\\Partners.exe"
07:39:13 checkApp 3096 "yandex\\Partners.exe"
07:44:13 checkApp 3096 "yandex\\Partners.exe"
07:49:13 checkApp 3096 "yandex\\Partners.exe"
07:54:14 checkApp 3096 "yandex\\Partners.exe"
07:59:13 checkApp 3096 "yandex\\Partners.exe"
08:04:13 checkApp 3096 "yandex\\Partners.exe"
08:09:13 checkApp 3096 "yandex\\Partners.exe"
08:14:13 checkApp 3096 "yandex\\Partners.exe"
08:19:13 checkApp 3096 "yandex\\Partners.exe"
08:24:14 checkApp 3096 "yandex\\Partners.exe"
08:29:13 checkApp 3096 "yandex\\Partners.exe"
08:34:13 checkApp 3096 "yandex\\Partners.exe"
08:39:13 checkApp 3096 "yandex\\Partners.exe"
08:44:13 checkApp 3096 "yandex\\Partners.exe"
08:49:13 checkApp 3096 "yandex\\Partners.exe"
08:54:14 checkApp 3096 "yandex\\Partners.exe"
08:59:13 checkApp 3096 "yandex\\Partners.exe"
09:04:13 checkApp 3096 "yandex\\Partners.exe"
09:09:13 checkApp 3096 "yandex\\Partners.exe"
09:14:13 checkApp 3096 "yandex\\Partners.exe"
09:19:13 checkApp 3096 "yandex\\Partners.exe"
09:24:14 checkApp 3096 "yandex\\Partners.exe"
09:29:13 checkApp 3096 "yandex\\Partners.exe"
09:34:13 checkApp 3096 "yandex\\Partners.exe"
09:39:13 checkApp 3096 "yandex\\Partners.exe"
09:44:13 checkApp 3096 "yandex\\Partners.exe"
09:49:13 checkApp 3096 "yandex\\Partners.exe"
09:54:14 checkApp 3096 "yandex\\Partners.exe"
09:59:13 checkApp 3096 "yandex\\Partners.exe"
10:04:13 checkApp 3096 "yandex\\Partners.exe"
10:09:13 checkApp 3096 "yandex\\Partners.exe"
10:14:13 checkApp 3096 "yandex\\Partners.exe"
10:19:13 checkApp 3096 "yandex\\Partners.exe"
10:24:14 checkApp 3096 "yandex\\Partners.exe"
10:29:13 checkApp 3096 "yandex\\Partners.exe"
10:34:13 checkApp 3096 "yandex\\Partners.exe"
10:39:14 checkApp 3096 "yandex\\Partners.exe"
10:44:14 checkApp 3096 "yandex\\Partners.exe"
10:49:14 checkApp 3096 "yandex\\Partners.exe"
10:54:14 checkApp 3096 "yandex\\Partners.exe"
10:59:14 checkApp 3096 "yandex\\Partners.exe"
11:04:14 checkApp 3096 "yandex\\Partners.exe"
11:09:14 checkApp 3096 "yandex\\Partners.exe"
11:14:14 checkApp 3096 "yandex\\Partners.exe"
11:19:14 checkApp 3096 "yandex\\Partners.exe"
11:24:14 checkApp 3096 "yandex\\Partners.exe"
11:29:14 checkApp 3096 "yandex\\Partners.exe"
11:34:14 checkApp 3096 "yandex\\Partners.exe"
11:39:14 checkApp 3096 "yandex\\Partners.exe"
11:44:14 checkApp 3096 "yandex\\Partners.exe"
11:49:14 checkApp 3096 "yandex\\Partners.exe"
11:54:14 checkApp 3096 "yandex\\Partners.exe"
11:59:14 checkApp 3096 "yandex\\Partners.exe"
12:04:14 checkApp 3096 "yandex\\Partners.exe"
12:09:14 checkApp 3096 "yandex\\Partners.exe"
12:14:14 checkApp 3096 "yandex\\Partners.exe"
12:19:14 checkApp 3096 "yandex\\Partners.exe"
12:24:14 checkApp 3096 "yandex\\Partners.exe"
12:29:14 checkApp 3096 "yandex\\Partners.exe"
12:34:14 checkApp 3096 "yandex\\Partners.exe"
12:39:14 checkApp 3096 "yandex\\Partners.exe"
12:44:14 checkApp 3096 "yandex\\Partners.exe"
12:49:14 checkApp 3096 "yandex\\Partners.exe"
12:54:14 checkApp 3096 "yandex\\Partners.exe"
12:59:14 checkApp 3096 "yandex\\Partners.exe"
13:04:14 checkApp 3096 "yandex\\Partners.exe"
13:09:14 checkApp 3096 "yandex\\Partners.exe"
13:14:14 checkApp 3096 "yandex\\Partners.exe"
13:19:14 checkApp 3096 "yandex\\Partners.exe"
13:24:14 checkApp 3096 "yandex\\Partners.exe"
13:29:14 checkApp 3096 "yandex\\Partners.exe"
13:34:14 checkApp 3096 "yandex\\Partners.exe"
13:39:14 checkApp 3096 "yandex\\Partners.exe"
13:44:14 checkApp 3096 "yandex\\Partners.exe"
13:49:14 checkApp 3096 "yandex\\Partners.exe"
13:54:14 checkApp 3096 "yandex\\Partners.exe"
13:59:14 checkApp 3096 "yandex\\Partners.exe"
14:04:14 checkApp 3096 "yandex\\Partners.exe"
14:09:14 checkApp 3096 "yandex\\Partners.exe"
14:14:14 checkApp 3096 "yandex\\Partners.exe"
14:19:14 checkApp 3096 "yandex\\Partners.exe"
14:24:14 checkApp 3096 "yandex\\Partners.exe"
14:29:14 checkApp 3096 "yandex\\Partners.exe"
14:34:14 checkApp 3096 "yandex\\Partners.exe"
14:39:14 checkApp 3096 "yandex\\Partners.exe"
14:44:14 checkApp 3096 "yandex\\Partners.exe"
14:49:14 checkApp 3096 "yandex\\Partners.exe"
14:54:14 checkApp 3096 "yandex\\Partners.exe"
14:59:14 checkApp 3096 "yandex\\Partners.exe"
15:04:14 checkApp 3096 "yandex\\Partners.exe"
15:09:14 checkApp 3096 "yandex\\Partners.exe"
15:14:14 checkApp 3096 "yandex\\Partners.exe"
15:19:14 checkApp 3096 "yandex\\Partners.exe"
15:24:14 checkApp 3096 "yandex\\Partners.exe"
15:29:14 checkApp 3096 "yandex\\Partners.exe"
15:34:14 checkApp 3096 "yandex\\Partners.exe"
15:39:14 checkApp 3096 "yandex\\Partners.exe"
15:44:14 checkApp 3096 "yandex\\Partners.exe"
15:49:14 checkApp 3096 "yandex\\Partners.exe"
15:54:14 checkApp 3096 "yandex\\Partners.exe"
15:59:14 checkApp 3096 "yandex\\Partners.exe"
16:04:14 checkApp 3096 "yandex\\Partners.exe"
16:09:14 checkApp 3096 "yandex\\Partners.exe"
16:14:14 checkApp 3096 "yandex\\Partners.exe"
16:19:14 checkApp 3096 "yandex\\Partners.exe"
16:24:14 checkApp 3096 "yandex\\Partners.exe"
